"Marca de temps","Fecha de nacimiento","Sexo","Antes de esta prueba... ¿Alguna vez has chateado con un chatbot?","Si la pregunta anterior era ""SÍ"", ¿qué chatbots has usado?","¿Para qué crees que usarías un chatbot? ","""El chatbot te respondió rápidamente"" ","""El chatbot te ha entendido bien"" ","""Entendí lo que el chatbot me decía"" ","""El chatbot era amable""  ","""La interacción del chatbot fue frustrante""","""La interfaz del chatbot era agradable y bonita""","""El chatbot era fácil de usar""","""Fue divertido usar esa tecnología""","""Me gustaría usar este tipo de tecnología en el futuro"""
"2021/01/13 8:54:36 p. m. CET","1964-05-06","Femenino","Si","Siri","Preguntarle sobre un producto","En desacuerdo","En desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","En desacuerdo"
"2021/01/16 12:36:11 p. m. CET","1996-07-05","Femenino","Si","Siri","Nunca usaria un chatbot","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/16 1:07:22 p. m. CET","1996-09-06","Femenino","Si","siri, Alexa","Nunca usaria un chatbot","De acuerdo","En desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo"
"2021/01/16 5:36:56 p. m. CET","1965-10-24","Femenino","No","","Realizar una compre online","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo"
"2021/01/16 6:12:33 p. m. CET","1956-12-18","Masculino","Si","siri, coartana","Nunca usaria un chatbot","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente en desacuerdo"
"2021/01/16 9:58:32 p. m. CET","1996-08-13","Masculino","Si","Siri, Alexa, Google Assistant","Hacer una reclamación/queja","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/16 10:37:25 p. m. CET","1953-11-09","Masculino","No","","Cómo asistente","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 9:15:48 a. m. CET","1993-06-22","Femenino","Si","Alexa","Agente de servicio para el cliente","De acuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/17 9:39:08 a. m. CET","1994-11-06","Masculino","Si","Siri, Alexa","Agente de servicio para el cliente","De acuerdo","En desacuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/17 10:01:42 a. m. CET","1958-09-03","Masculino","Si","Siri","Nunca usaria un chatbot","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo"
"2021/01/17 5:31:21 p. m. CET","1961-07-22","Femenino","No","","Cómo asistente","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo"
"2021/01/17 6:39:51 p. m. CET","1997-04-23","Masculino","Si","Siri","Cómo asistente","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 7:14:33 p. m. CET","1996-11-09","Masculino","Si","Alexa","Cómo asistente","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 8:35:16 p. m. CET","1996-07-03","Masculino","Si","Alexa","Preguntarle sobre un producto","En desacuerdo","En desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo"
