"Marca de temps","Fecha de nacimiento","Sexo","Antes de esta prueba... ¿Alguna vez has chateado con un chatbot?","Si la pregunta anterior era ""SÍ"", ¿qué chatbots has usado?","¿Para qué crees que usarías un chatbot? ","""El chatbot te respondió rápidamente"" ","""El chatbot te ha entendido bien"" ","""Entendí lo que el chatbot me decía"" ","""El chatbot era amable""  ","""La interacción del chatbot fue frustrante""","""La interfaz del chatbot era agradable y bonita""","""El chatbot era fácil de usar""","""Fue divertido usar esa tecnología""","""Me gustaría usar este tipo de tecnología en el futuro"""
"2021/01/16 12:45:25 p. m. CET","1996-07-05","Femenino","No","Siri","Nunca usaria un chatbot","Ni de acuerdo ni en desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/16 1:29:16 p. m. CET","1996-09-06","Femenino","Si","Siri, Alexa","Nunca usaria un chatbot","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo"
"2021/01/16 3:13:35 p. m. CET","1964-05-06","Femenino","Si","SIRI","Preguntarle sobre un producto","Ni de acuerdo ni en desacuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo"
"2021/01/16 5:30:11 p. m. CET","1965-10-24","Femenino","No","","Nunca usaria un chatbot","De acuerdo","En desacuerdo","Totalmente de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo"
"2021/01/16 6:10:27 p. m. CET","1956-12-18","Masculino","Si","SIRI, Coartana","Nunca usaria un chatbot","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2021/01/16 9:51:33 p. m. CET","1995-08-13","Masculino","Si","Siri, Alexa, Google Assistant","Realizar una compre online","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","En desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo"
"2021/01/16 11:13:14 p. m. CET","1953-11-09","Masculino","No","","Cómo asistente","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 9:26:10 a. m. CET","1993-06-22","Femenino","Si","Alexa","Agente de servicio para el cliente","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo"
"2021/01/17 9:55:19 a. m. CET","1994-11-06","Masculino","Si","Siri, Alexa","Resolver una incidencia","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo"
"2021/01/17 10:38:03 a. m. CET","1958-09-03","Masculino","Si","Siri","Nunca usaria un chatbot","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo"
"2021/01/17 6:02:19 p. m. CET","1961-07-22","Femenino","No","","Cómo asistente","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 7:25:35 p. m. CET","1996-11-09","Masculino","Si","Alexa, Siri","Cómo asistente","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","En desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
"2021/01/17 8:48:23 p. m. CET","1996-07-03","Masculino","Si","Alexa","Cómo asistente","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo"
"2021/01/17 9:27:04 p. m. CET","1997-04-23","Masculino","Si","Siri","Cómo asistente","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Totalmente en desacuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo"
